source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,summary,description,tags,deprecated
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId}/lite,get,GetLookupLiteById,Get lite lookup by ID with all versions, This method returns lite lookup with all versions<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/versions,post,GetLookupsByIdsAndVersion,Gets a list of versions, This endpoint returns a list of lookup versions from a received list of lookup ids paired with version numbers<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/names,post,GetLookupsByNames,Gets a list of lookups and their active version from a list of names, This method returns a list of lookups with their active version from a list of Names<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId}/version/{versionNumber}/file,get,GetLookupVersionFile,Retrieves a specific lookup version as a CSV file.,<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId}/column-filter,post,GetLookupByIdWithColumnFilter,Get specific columns of an existing Lookup," This method returns the, specified by column names, metadata for a given Lookup Id<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink,get,GetAllLinkLookups,Get all lookups and their parent child relationship., This method returns all Linked Lookups for the client tenant<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,LookupLink,True
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/active,get,GetAllActiveLinkLookups,Gets all Link Lookups active version for the client tenant., This method returns all Lookups with only the active for a given tenant<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/lite,get,GetAllLinkLookupsLite,Gets all Link Lookups (lite), This method returns all Link Lookups for given tenant.                 This is lite endpoint and will not return the definitions of the values and signees.<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/{id},get,GetLinkLookupById,Get the current active version of an existing Link Lookup along with its relationships.," This method returns the active, currently in effect, published version for a given Linked Lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/{id}/version/{versionNumber},get,GetLinkLookupVersionById,Get the specified version of an existing Linked Lookup," This method returns the, specified by number, version for a given Linked Lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/versions,post,GetLinkLookupsByIdsAndVersion,Gets a list of versions, This endpoint returns a list of link lookup versions from a received list of lookup ids paired with version numbers<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/lookup/{lookupid},get,GetLinkLookupByLookup,Get all Linked Lookup version of a existing Lookup," This method returns a list of Linked Lookup version , associated to a lookup",LookupLink,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookuplink/{linkLookupId}/version/{versionNumber}/file,get,GetLinkLookupVersionFile,Retrieves a specific lookup version as a CSV file.,<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,LookupLink,False
